bank_txn_id,utr,credited_amount,value_date,narration
BANKTXN55016,UTR556016,1465.84,2026-03-14,NEFT-RAZORPAY-SETTLEMENT-UTR556016
BANKTXN55006,UTR556006,1796.54,2026-03-15,NEFT-RAZORPAY-SETTLEMENT-UTR556006
BANKTXN55055,UTR556055,431.87,2026-03-03,NEFT-RAZORPAY-SETTLEMENT-UTR556055
BANKTXN55015,UTR556015,2708.59,2026-03-07,NEFT-RAZORPAY-SETTLEMENT-UTR556015
BANKTXN55041,UTR556041,2895.83,2026-03-21,NEFT-RAZORPAY-SETTLEMENT-UTR556041
BANKTXN55040,UTR556040,1302.15,2026-03-18,NEFT-RAZORPAY-SETTLEMENT-UTR556040
BANKTXN55059,UTR556057,518.33,2026-03-07,NEFT-RAZORPAY-SETTLEMENT-UTR556057
BANKTXN55005,UTR556005,2309.08,2026-03-10,NEFT-RAZORPAY-SETTLEMENT-UTR556005
BANKTXN55019,UTR556019,2057.05,2026-03-18,NEFT-RAZORPAY-SETTLEMENT-UTR556019
BANKTXN55031,UTR556031,287.62,2026-03-18,NEFT-RAZORPAY-SETTLEMENT-UTR556031
BANKTXN55018,UTR556018,1188.47,2026-03-05,NEFT-RAZORPAY-SETTLEMENT-UTR556018
BANKTXN55048,UTR556048,2107.77,2026-03-10,NEFT-RAZORPAY-SETTLEMENT-UTR556048
BANKTXN55045,UTR556045,2718.69,2026-03-10,NEFT-RAZORPAY-SETTLEMENT-UTR556045
BANKTXN55029,UTR556029,3060.6,2026-03-18,NEFT-RAZORPAY-SETTLEMENT-UTR556029
BANKTXN55009,UTR556009,4773.54,2026-03-06,NEFT-RAZORPAY-SETTLEMENT-UTR556009
BANKTXN55060,UTR556058,1354.69,2026-03-20,NEFT-RAZORPAY-SETTLEMENT-UTR556058
BANKTXN55032,UTR556032,1329.06,2026-03-03,NEFT-RAZORPAY-SETTLEMENT-UTR556032
BANKTXN55062,UTR556060,1318.78,2026-03-12,NEFT-RAZORPAY-SETTLEMENT-UTR556060
BANKTXN55030,UTR556030,4681.26,2026-03-19,NEFT-RAZORPAY-SETTLEMENT-UTR556030
BANKTXN55024,UTR556024,1991.13,2026-03-15,NEFT-RAZORPAY-SETTLEMENT-UTR556024
BANKTXN55064,UTR556062,1483.2,2026-03-02,NEFT-UNKNOWN-SOURCE-UTR556062
BANKTXN55010,UTR556010,4097.52,2026-03-12,NEFT-RAZORPAY-SETTLEMENT-UTR556010
BANKTXN55004,UTR556004,320.82,2026-03-21,NEFT-RAZORPAY-SETTLEMENT-UTR556004
BANKTXN55034,UTR556034,4649.97,2026-03-17,NEFT-RAZORPAY-SETTLEMENT-UTR556034
BANKTXN55027,UTR556027,939.98,2026-03-15,NEFT-RAZORPAY-SETTLEMENT-UTR556027
BANKTXN55020,UTR556020,1356.13,2026-03-07,NEFT-RAZORPAY-SETTLEMENT-UTR556020
BANKTXN55011,UTR556011,411.56,2026-03-04,NEFT-RAZORPAY-SETTLEMENT-UTR556011
BANKTXN55056,UTR556055,431.87,2026-03-03,NEFT-RAZORPAY-SETTLEMENT-UTR556055
BANKTXN55057,UTR556056,936.57,2026-03-18,NEFT-RAZORPAY-SETTLEMENT-UTR556056
