gateway_txn_id,order_ref,gross_amount,fee_pct,fee_amount,net_settled,utr,settlement_date
rzp_pay_88049,ORD10050,2658.55,0.02,53.17,783.3,UTR556049,2026-03-04
rzp_pay_88019,ORD10020,2099.03,0.02,41.98,2057.05,UTR556019,2026-03-18
rzp_pay_88040,ORD10041,1342.42,0.03,40.27,1302.15,UTR556040,2026-03-18
rzp_pay_88044,ORD10045,4042.84,0.02,80.86,3961.98,UTR556044,2026-03-14
rzp_pay_88025,ORD10026,4331.74,0.02,86.63,4245.11,UTR556025,2026-03-19
rzp_pay_88018,ORD10019,1212.72,0.02,24.25,1188.47,UTR556018,2026-03-05
rzp_pay_88033,ORD10034,4116.91,0.02,82.34,4034.57,UTR556033,2026-03-17
rzp_pay_88031,ORD10032,293.49,0.02,5.87,287.62,UTR556031,2026-03-18
rzp_pay_88052,ORD10051,4786.37,0.02,95.73,2255.49,UTR556052,2026-03-15
rzp_pay_88015,ORD10016,2763.87,0.02,55.28,2708.59,UTR556015,2026-03-07
rzp_pay_88005,ORD10006,2356.2,0.02,47.12,2309.08,UTR556005,2026-03-10
rzp_pay_88021,ORD10022,2117.12,0.02,42.34,2074.78,UTR556021,2026-03-20
rzp_pay_88017,ORD10018,4144.65,0.02,82.89,4061.76,UTR556017,2026-03-10
rzp_pay_88032,ORD10033,1356.18,0.02,27.12,1329.06,UTR556032,2026-03-03
rzp_pay_88046,ORD10047,2420.61,0.02,48.41,2372.2,UTR556046,2026-03-12
rzp_pay_88039,ORD10040,482.59,0.015,7.24,475.35,UTR556039,2026-03-22
rzp_pay_88056,ORD10054,955.68,0.02,19.11,936.57,UTR556056,2026-03-18
rzp_pay_88002,ORD10003,3735.06,0.02,74.7,3660.36,UTR556002,2026-03-06
rzp_pay_88013,ORD10014,4203.73,0.02,84.07,4119.66,UTR556013,2026-03-22
rzp_pay_88004,ORD10005,327.37,0.02,6.55,320.82,UTR556004,2026-03-21
rzp_pay_88030,ORD10031,4776.8,0.02,95.54,4681.26,UTR556030,2026-03-19
rzp_pay_88048,ORD10049,2150.79,0.02,43.02,2107.77,UTR556048,2026-03-10
rzp_pay_88008,ORD10009,1469.7,0.02,29.39,1440.31,UTR556008,2026-03-21
rzp_pay_88029,ORD10030,3123.06,0.02,62.46,3060.6,UTR556029,2026-03-18
rzp_pay_88022,ORD10023,636.37,0.02,12.73,623.64,UTR556022,2026-03-17
rzp_pay_88042,ORD10043,665.27,0.03,19.96,645.31,UTR556042,2026-03-06
rzp_pay_88026,ORD10027,3804.21,0.02,76.08,3728.13,UTR556026,2026-03-20
